type,dataset,metric,ori,combined-0.1,improvement-0.1,combined-0.2,improvement-0.2,combined-0.3,improvement-0.3,combined-0.4,improvement-0.4,combined-0.5,improvement-0.5,combined-0.6,improvement-0.6,combined-0.7,improvement-0.7,combined-0.8,improvement-0.8,combined-0.9,improvement-0.9
Adv.,xpaws-fr,XMoverScore_CLP,0.7790980368572207,0.8409759616964502,7.942251412779444,0.8760883145034923,12.449046597205893,0.8826022159406176,13.285128980804428,0.8828725820480066,13.31983143089397,0.881494560462278,13.142957466317263,0.8715417478386711,11.865478618628833,0.8686401617211256,11.493049735448713,0.8603256695857854,10.425855140930196,0.8503925931804763,9.15090950695352
Adv.,xpaws-zh,XMoverScore_CLP,0.7239220289506997,0.7555354722435618,4.366967992213833,0.7737499017434042,6.883044140116623,0.7683434505825777,6.136216312724363,0.765110956056666,5.68969107980708,0.7527963121350622,3.988590211326315,0.7431293444840876,2.653229873558116,0.7335000890262887,1.3230789632789675,0.7254532073088467,0.21151150219400616,0.7197629809125479,-0.5745160213151967
Adv.,xpaws-ja,XMoverScore_CLP,0.7762985583422141,0.8392534321257554,8.10962137015705,0.8747486382116467,12.681986693324898,0.8837979474542415,13.847686300177141,0.8832048277459751,13.771282743595382,0.8790779178954573,13.23966899703235,0.8713922516464453,12.24962899677462,0.8646630218073619,11.38279370940094,0.8622350888687487,11.070036083804169,0.8555395872090218,10.207545539698915
MT,wmt21.news,XMoverScore_UMD,0.6685338562935518,0.6778966307016435,1.4004936803051926,0.6761751346727187,1.142990486903872,0.6607129941097755,-1.1698528219851623,0.6281406356398627,-6.042060588768827,0.5750762554351044,-13.979486600213454,0.4993758726999132,-25.302829767137737,0.40168352190417966,-39.91575473362394,0.2894206564341752,-56.708152667276245,0.17852932084641773,-73.29539571320889
MT,wmt20,XMoverScore_UMD,0.6760774752239386,0.7103122914947468,5.063741586638226,0.7465868155806039,10.429180521553437,0.7826918709255566,15.76955298892393,0.8114770826986216,20.027232445487762,0.8223452317658732,21.634762568222833,0.810981609142303,19.953945939950124,0.7797067593327428,15.328019037238128,0.7289522817747284,7.820820614275892,0.6595405378466755,-2.446012178084389
Adv.,wmt20_google-de,XMoverScore_UMD,0.6577777777777778,0.6933333333333334,5.405405405405417,0.7205555555555557,9.543918918918948,0.7361111111111112,11.908783783783793,0.7461111111111111,13.429054054054035,0.7511111111111111,14.18918918918919,0.7555555555555554,14.864864864864845,0.7505555555555556,14.104729729729737,0.7427777777777778,12.92229729729728,0.7416666666666667,12.753378378378377
Adv.,xpaws-de,XMoverScore_UMD,0.7612119152515797,0.8182617747319402,7.49460936400419,0.844952869665335,11.001004153498961,0.8553731580483619,12.369911835347725,0.8621313230808196,13.257728341770125,0.8588091239286564,12.821292825509811,0.8568167051276262,12.559549838949803,0.8560810696267209,12.462909798749934,0.8472902841521055,11.30806903778916,0.8436996242298922,10.83636597451978
Adv.,xpaws-fr,XMoverScore_UMD,0.7741946012043535,0.8368909939084294,8.098273044857729,0.8744120683100891,12.944738564417158,0.8816695849342613,13.88216652024148,0.8837606713928327,14.152264820503246,0.8793443936987771,13.581829727416128,0.8727763736914945,12.73346163016187,0.8664583526514716,11.917385022265826,0.8601070486515133,11.097009371224331,0.8512407666552906,9.95178283742646
Adv.,xpaws-zh,XMoverScore_UMD,0.720530415634869,0.7564380300449313,4.983497383441282,0.7734364425290693,7.342650045881016,0.7650837257022882,6.183404489338984,0.7577117212086888,5.160268708581706,0.7517873918819423,4.338050909278057,0.7395955968423444,2.6459925623926406,0.7297171035410447,1.2749896058282584,0.7262887102997885,0.7991744054060224,0.7180151389989252,-0.3490868090179844
Adv.,xpaws-ja,XMoverScore_UMD,0.7705190633388694,0.8363779775594798,8.547343908043725,0.8742906043649238,13.467744792242243,0.8838689725086808,14.710850719076983,0.8795449443162593,14.149666914787407,0.8774545293451805,13.878367336290243,0.867177611371281,12.544601766705643,0.8664878862588671,12.455087419140366,0.863881984750023,12.116886635690305,0.8573774915129831,11.27271631641824
MT,wmt21.news,SentSim_new_BERTScore_src,-0.12958659469188386,-0.1244966224371982,-3.9278540089644376,-0.11368862559644141,-12.268220438420197,-0.09158149293949822,-29.32795775886372,-0.05386182583230624,-58.43564995254894,-0.00989621365600747,-92.36324275706329,0.02383364577955227,-118.39206118211622,0.04033955620140804,-131.1294206760528,0.0455389736819027,-135.1417318976396,0.05408352313965463,-141.7354304804816
MT,wmt20,SentSim_new_BERTScore_src,0.08788733736729099,0.15835746381723906,80.18234316901143,0.18661403927410647,112.33324943526912,0.21471665415257526,144.30897622401554,0.250014637167462,184.47173922521162,0.29780713652906615,238.851017052089,0.3589436407900927,308.4133750576914,0.42229565212781817,380.4965820764345,0.4744550328526599,439.8445863365497,0.5181863078144755,489.6029204399686
Adv.,wmt20_google-de,SentSim_new_BERTScore_src,0.6244444444444445,0.6538888888888889,4.71530249110319,0.6833333333333333,9.430604982206404,0.6927777777777778,10.943060498220646,0.7055555555555555,12.989323843416356,0.7166666666666667,14.768683274021344,0.7227777777777779,15.7473309608541,0.7288888888888888,16.725978647686812,0.7238888888888888,15.925266903914581,0.7338888888888888,17.526690391459066
Adv.,xpaws-de,SentSim_new_BERTScore_src,0.7446242532492635,0.7772118617929054,4.37638290741158,0.8008108797753287,7.545634765573062,0.8072834734750871,8.41487769870537,0.8135499637743234,9.256441785812598,0.8192280606968202,10.018987042392634,0.8187509671745948,9.954915328351156,0.8181364898371382,9.872393528292234,0.8225643849032376,10.467041774945196,0.8269833148098376,11.060486037244921
Adv.,xpaws-fr,SentSim_new_BERTScore_src,0.7052398218413445,0.7507278589278228,6.450009724027117,0.7818140830337241,10.857903768458254,0.7963718673245055,12.922135514869248,0.8029156291045354,13.85001303643978,0.8041586431105684,14.026267122998238,0.8079179733883176,14.55932412876031,0.807305327187693,14.472453509482875,0.819058199510925,16.13896069742724,0.8222898913738518,16.597200825514303
Adv.,xpaws-zh,SentSim_new_BERTScore_src,0.6930066821882481,0.7039903646923933,1.5849316877382558,0.7055849589687371,1.81502965321656,0.7143469417950472,3.0793728480964733,0.7108477334304842,2.5744414449079933,0.7015498043458269,1.2327618733203094,0.6984242220190171,0.7817442414353781,0.7064822226377617,1.9445036816907901,0.698089559468822,0.7334528527956019,0.693389491735759,0.05523894030894372
Adv.,xpaws-ja,SentSim_new_BERTScore_src,0.6804719765920657,0.7300731349578335,7.289228663637259,0.7599110807708289,11.674118393032074,0.78422986856119,15.247930192329706,0.7875601409568473,15.73733644419859,0.7932238905501228,16.569663092187902,0.7979472372863208,17.263791123712945,0.8002317735198373,17.599519311221545,0.8111743851543493,19.20761075523878,0.8183277362942527,20.258844514449393
Adv.,wmt20_google-de,SentSim_new_WMD_src,0.605,0.6461111111111111,6.795224977043146,0.6777777777777777,12.029384756657468,0.6861111111111112,13.406795224977074,0.703888888888889,16.34527089072546,0.7122222222222222,17.722681359045,0.7211111111111111,19.191919191919204,0.7238888888888889,19.651056014692394,0.7211111111111111,19.191919191919204,0.7266666666666667,20.11019283746558
Adv.,xpaws-de,SentSim_new_WMD_src,0.7372294796590437,0.781190337713238,5.96298157725943,0.7983667120271156,8.292836091734546,0.8065525209311187,9.403183565602369,0.8111090618914403,10.02124633791972,0.8142668565910348,10.449579005931708,0.810371038525127,9.921138652772,0.8184114522854117,11.011764296771375,0.8214862201507828,11.428834957970802,0.8281797548325494,12.336765916573022
