setup,metric,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
src,XMoverScore_CLP,0.3,xpaws-ja,adv,12.92809185554853,-5.170042355655536,0.7762985583422141,0.924453802168578,0.8766591490379945
src,XMoverScore_CLP,0.4,xpaws-ja,adv,13.961303713683183,-4.302415575333473,0.7762985583422141,0.924453802168578,0.8846799577973146
src,XMoverScore_CLP,0.5,xpaws-ja,adv,14.646750090382632,-3.7268205236343444,0.7762985583422141,0.924453802168578,0.8900010681378414
src,XMoverScore_CLP,0.6,xpaws-ja,adv,15.17413838389745,-3.2839527773156907,0.7762985583422141,0.924453802168578,0.8940951758572625
src,XMoverScore_CLP,0.7,xpaws-ja,adv,15.66478749075264,-2.8719363050916713,0.7762985583422141,0.924453802168578,0.8979040778002982
src,XMoverScore_CLP,0.8,xpaws-ja,adv,16.05235428819183,-2.5464819174223385,0.7762985583422141,0.924453802168578,0.9009127532614318
src,XMoverScore_CLP,0.9,xpaws-ja,adv,17.522414529622267,-1.3120171519341972,0.7762985583422141,0.924453802168578,0.9123248097224184
src,XMoverScore_UMD,0.1,wmt15,mt-seg,3.7758711246948407,103.7470282710875,0.49129569135554263,0.2502350035868747,0.5098463835023065
src,XMoverScore_UMD,0.2,wmt15,mt-seg,5.824281122043429,107.76874782031753,0.49129569135554263,0.2502350035868747,0.5199101335605762
src,XMoverScore_UMD,0.3,wmt15,mt-seg,5.338117832041367,106.81424534764359,0.49129569135554263,0.2502350035868747,0.5175216342638438
src,XMoverScore_UMD,0.4,wmt15,mt-seg,1.89113254128781,100.04665089747213,0.49129569135554263,0.2502350035868747,0.5005867440487122
src,XMoverScore_UMD,0.5,wmt15,mt-seg,-4.347595436368213,87.79792417648176,0.49129569135554263,0.2502350035868747,0.4699361422990954
src,XMoverScore_UMD,0.6,wmt15,mt-seg,-12.677288992819168,71.44392695012796,0.49129569135554263,0.2502350035868747,0.4290127167531316
src,XMoverScore_UMD,0.7,wmt15,mt-seg,-22.1209183047138,52.902898216384116,0.49129569135554263,0.2502350035868747,0.3826165728362042
src,XMoverScore_UMD,0.8,wmt15,mt-seg,-31.735247123999912,34.02672878970825,0.49129569135554263,0.2502350035868747,0.3353817895942973
src,XMoverScore_UMD,0.9,wmt15,mt-seg,-40.837980061409816,16.154994589432526,0.49129569135554263,0.2502350035868747,0.2906604548772006
src,XMoverScore_UMD,0.1,wmt16,mt-seg,2.821573321135995,165.56077240361756,0.4640232069931867,0.179663569166169,0.4771159620055861
src,XMoverScore_UMD,0.2,wmt16,mt-seg,4.104918815965264,168.87531243504804,0.4640232069931867,0.179663569166169,0.48307098292749545
src,XMoverScore_UMD,0.3,wmt16,mt-seg,3.0891307860105632,166.25180216264036,0.4640232069931867,0.179663569166169,0.4783574907346468
src,XMoverScore_UMD,0.4,wmt16,mt-seg,-0.7413576377382602,156.3586695092738,0.4640232069931867,0.179663569166169,0.4605831355072647
src,XMoverScore_UMD,0.5,wmt16,mt-seg,-7.531573353843168,138.82134857445268,0.4640232069931867,0.179663569166169,0.42907495877963936
src,XMoverScore_UMD,0.6,wmt16,mt-seg,-16.94438110493196,114.51057004688793,0.4640232069931867,0.179663569166169,0.3853973463849339
src,XMoverScore_UMD,0.7,wmt16,mt-seg,-28.108055218764093,85.67776945092464,0.4640232069931867,0.179663569166169,0.3335953077436618
src,XMoverScore_UMD,0.8,wmt16,mt-seg,-39.847062260237486,55.359036946718135,0.4640232069931867,0.179663569166169,0.27912359080066096
src,XMoverScore_UMD,0.9,wmt16,mt-seg,-51.11606080612907,26.254211360013603,0.4640232069931867,0.179663569166169,0.22683282235199922
src,XMoverScore_UMD,0.1,wmt17,mt-seg,4.022487657391194,109.93901520937474,0.4892724829077763,0.24242916812588053,0.508953408143753
src,XMoverScore_UMD,0.2,wmt17,mt-seg,5.9912218312846655,113.91233023946259,0.4892724829077763,0.24242916812588053,0.5185858827182155
src,XMoverScore_UMD,0.3,wmt17,mt-seg,5.297619218604277,112.51249590813642,0.4892724829077763,0.24242916812588053,0.515192275993641
src,XMoverScore_UMD,0.4,wmt17,mt-seg,1.7326783702931836,105.31770382203378,0.4892724829077763,0.24242916812588053,0.49775000139091574
src,XMoverScore_UMD,0.5,wmt17,mt-seg,-4.504667853311584,92.72944186836523,0.4892724829077763,0.24242916812588053,0.4672323826551303
src,XMoverScore_UMD,0.6,wmt17,mt-seg,-12.834944848482365,75.91721031947665,0.4892724829077763,0.24242916812588053,0.4264746295677629
src,XMoverScore_UMD,0.7,wmt17,mt-seg,-22.412836985505624,56.58703192909855,0.4892724829077763,0.24242916812588053,0.37961263889872054
src,XMoverScore_UMD,0.8,wmt17,mt-seg,-32.32930508098355,36.573536835839285,0.4892724829077763,0.24242916812588053,0.3310940892312182
src,XMoverScore_UMD,0.9,wmt17,mt-seg,-41.830399557763265,17.398352096593772,0.4892724829077763,0.24242916812588053,0.2846078483812645
src,XMoverScore_UMD,0.1,wmt20_mqm,mt-seg,-1.2668479854843873,2305.8794023223663,0.2924357908997247,0.012001061802813871,0.2887310739738762
src,XMoverScore_UMD,0.2,wmt20_mqm,mt-seg,-4.864581414504698,2218.2116577470288,0.2924357908997247,0.012001061802813871,0.27821001376625687
src,XMoverScore_UMD,0.3,wmt20_mqm,mt-seg,-11.603527421701898,2054.00043728792,0.2924357908997247,0.012001061802813871,0.25850292371180433
src,XMoverScore_UMD,0.4,wmt20_mqm,mt-seg,-21.77884819542929,1806.0533783513786,0.2924357908997247,0.012001061802813871,0.22874664393057065
src,XMoverScore_UMD,0.5,wmt20_mqm,mt-seg,-34.733549027985575,1490.3797949564778,0.2924357908997247,0.012001061802813871,0.19086246209219143
src,XMoverScore_UMD,0.6,wmt20_mqm,mt-seg,-48.999593728504685,1142.752048882464,0.2924357908997247,0.012001061802813871,0.14914344144212013
src,XMoverScore_UMD,0.7,wmt20_mqm,mt-seg,-63.009884971880496,801.3563734155275,0.2924357908997247,0.012001061802813871,0.10817233543719923
src,XMoverScore_UMD,0.8,wmt20_mqm,mt-seg,-75.71053292269542,491.8734218682996,0.2924357908997247,0.012001061802813871,0.0710310951528439
src,XMoverScore_UMD,0.9,wmt20_mqm,mt-seg,-86.67341610240747,224.73544142321157,0.2924357908997247,0.012001061802813871,0.038971701020840056
src,XMoverScore_UMD,0.1,wmt21.news_mqm,mt-seg,1.2326582827839605,203.13377381382685,0.17601118673639682,0.05877959455542594,0.17818080320832935
src,XMoverScore_UMD,0.2,wmt21.news_mqm,mt-seg,0.6371704486203278,201.3506291499181,0.17601118673639682,0.05877959455542594,0.17713267800454707
src,XMoverScore_UMD,0.3,wmt21.news_mqm,mt-seg,-2.4949812084267164,191.9716306324074,0.17601118673639682,0.05877959455542594,0.17161974070259486
src,XMoverScore_UMD,0.4,wmt21.news_mqm,mt-seg,-8.514078301320428,173.94788565058664,0.17601118673639682,0.05877959455542594,0.1610254564785767
src,XMoverScore_UMD,0.5,wmt21.news_mqm,mt-seg,-17.113496464318658,148.1975583888936,0.17601118673639682,0.05877959455542594,0.14588951851745824
src,XMoverScore_UMD,0.6,wmt21.news_mqm,mt-seg,-27.377638638184145,117.4623371183618,0.17601118673639682,0.05877959455542594,0.1278234800689266
src,XMoverScore_UMD,0.7,wmt21.news_mqm,mt-seg,-38.185589625876524,85.09872022170622,0.17601118673639682,0.05877959455542594,0.10880027727360111
src,XMoverScore_UMD,0.8,wmt21.news_mqm,mt-seg,-48.62708607389061,53.83242457916197,0.17601118673639682,0.05877959455542594,0.09042207546241281
src,XMoverScore_UMD,0.9,wmt21.news_mqm,mt-seg,-58.168974011929166,25.259940669014913,0.17601118673639682,0.05877959455542594,0.07362728526561405
src,XMoverScore_UMD,0.1,wmt21.news,mt-seg,3.4921591780081362,58.25211410403994,0.6685338562935518,0.4372011878838692,0.6918801227141987
src,XMoverScore_UMD,0.2,wmt21.news,mt-seg,4.717817248024825,60.126294547170914,0.6685338562935518,0.4372011878838692,0.7000740618746545
src,XMoverScore_UMD,0.3,wmt21.news,mt-seg,4.3063200836031434,59.49706527284937,0.6685338562935518,0.4372011878838692,0.6973230640128076
src,XMoverScore_UMD,0.4,wmt21.news,mt-seg,2.6264735141363627,56.92837530541628,0.6685338562935518,0.4372011878838692,0.6860927209621364
src,XMoverScore_UMD,0.5,wmt21.news,mt-seg,-0.03334396608396517,52.861190479831976,0.6685338562935518,0.4372011878838692,0.6683109405912494
src,XMoverScore_UMD,0.6,wmt21.news,mt-seg,-3.568082041675902,47.45614552078028,0.6685338562935518,0.4372011878838692,0.6446800198246182
src,XMoverScore_UMD,0.7,wmt21.news,mt-seg,-8.197790606866494,40.3767573434904,0.6685338562935518,0.4372011878838692,0.6137288506185966
src,XMoverScore_UMD,0.8,wmt21.news,mt-seg,-14.522836608106138,30.704991777368384,0.6685338562935518,0.4372011878838692,0.5714437766741681
src,XMoverScore_UMD,0.9,wmt21.news,mt-seg,-23.32526142986283,17.245012312751285,0.6685338562935518,0.4372011878838692,0.5125965865659373
src,XMoverScore_UMD,0.1,wmt20,mt-seg,7.2681822052229395,-0.05864746432057144,0.6760774752239387,0.7256415883633162,0.7252160179716856
src,XMoverScore_UMD,0.2,wmt20,mt-seg,14.013464072036452,6.2259056915630495,0.6760774752239387,0.7256415883633162,0.7708193493135764
src,XMoverScore_UMD,0.3,wmt20,mt-seg,19.61505341987646,11.44488492905522,0.6760774752239387,0.7256415883633162,0.8086904331488662
src,XMoverScore_UMD,0.4,wmt20,mt-seg,23.23171652737015,14.81451602746693,0.6760774752239387,0.7256415883633162,0.8331418777733652
src,XMoverScore_UMD,0.5,wmt20,mt-seg,24.580701924070002,16.07136052996003,0.6760774752239387,0.7256415883633162,0.8422620641845132
src,XMoverScore_UMD,0.6,wmt20,mt-seg,23.865223209753772,15.404751765373636,0.6760774752239387,0.7256415883633162,0.8374248737569994
src,XMoverScore_UMD,0.7,wmt20,mt-seg,21.33286700475965,13.045365235032037,0.6760774752239387,0.7256415883633162,0.8203041838625984
src,XMoverScore_UMD,0.8,wmt20,mt-seg,17.436428207643374,9.415068203324362,0.6760774752239387,0.7256415883633162,0.7939612388194086
src,XMoverScore_UMD,0.9,wmt20,mt-seg,12.733944444185585,5.033782178565405,0.6760774752239387,0.7256415883633162,0.7621688053186076
src,XMoverScore_UMD,0.1,wmt20_google-de,adv,10.388513513513509,-9.424809424809421,0.6577777777777778,0.8016666666666666,0.7261111111111112
src,XMoverScore_UMD,0.2,wmt20_google-de,adv,15.709459459459453,-5.0589050589050615,0.6577777777777778,0.8016666666666666,0.7611111111111111
src,XMoverScore_UMD,0.3,wmt20_google-de,adv,18.243243243243246,-2.979902979902971,0.6577777777777778,0.8016666666666666,0.7777777777777778
src,XMoverScore_UMD,0.4,wmt20_google-de,adv,19.256756756756754,-2.148302148302139,0.6577777777777778,0.8016666666666666,0.7844444444444445
src,XMoverScore_UMD,0.5,wmt20_google-de,adv,19.76351351351351,-1.7325017325017233,0.6577777777777778,0.8016666666666666,0.7877777777777778
src,XMoverScore_UMD,0.6,wmt20_google-de,adv,20.270270270270263,-1.3167013167013186,0.6577777777777778,0.8016666666666666,0.7911111111111111
src,XMoverScore_UMD,0.7,wmt20_google-de,adv,20.692567567567586,-0.9702009702009518,0.6577777777777778,0.8016666666666666,0.793888888888889
src,XMoverScore_UMD,0.8,wmt20_google-de,adv,21.452702702702698,-0.34650034650034467,0.6577777777777778,0.8016666666666666,0.7988888888888889
src,XMoverScore_UMD,0.9,wmt20_google-de,adv,22.635135135135155,0.6237006237006293,0.6577777777777778,0.8016666666666666,0.8066666666666668
src,XMoverScore_UMD,0.1,xpaws-de,adv,7.543058482261422,-8.49413535196274,0.7612119152515797,0.8946208839637555,0.8186305751929486
src,XMoverScore_UMD,0.2,xpaws-de,adv,10.906352285859455,-5.632387584073218,0.7612119152515797,0.8946208839637555,0.8442323683708549
