setup,metric,nli,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summ_google,adv,34.26532653399892,-1.274297058959312,0.6920018621973929,0.941111111111111,0.9291185599006828
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summ_google,adv,34.35502751577618,-1.2083396542512668,0.6920018621973929,0.941111111111111,0.9297392923649908
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summ_google,adv,34.19446275839489,-1.3264034086786642,0.6920018621973929,0.941111111111111,0.9286281812538796
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summ_google,adv,34.293582343258755,-1.2535204764762782,0.6920018621973929,0.941111111111111,0.9293140906269398
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summ_google,adv,34.71383144288517,-0.9445100354190972,0.6920018621973929,0.941111111111111,0.9322222222222224
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summ_google,adv,34.95467857895703,-0.7674144037780422,0.6920018621973929,0.941111111111111,0.9338888888888888
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,summ_google,adv,12.263469723676131,-12.983351468609747,0.6920018621973929,0.8927777777777778,0.7768653010552452
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,summ_google,adv,23.063467929656483,-4.612154227489378,0.6920018621973929,0.8927777777777778,0.8516014897579143
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,summ_google,adv,29.495476827993883,0.3733665214685712,0.6920018621973929,0.8927777777777778,0.8961111111111111
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,summ_google,adv,32.06451294609418,2.364654635967626,0.6920018621973929,0.8927777777777778,0.9138888888888888
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,summ_google,adv,33.509595762525606,3.484754200373352,0.6920018621973929,0.8927777777777778,0.9238888888888888
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,summ_google,adv,33.6701605199069,3.609209707529563,0.6920018621973929,0.8927777777777778,0.925
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,summ_google,adv,33.42931338383497,3.4225264467952585,0.6920018621973929,0.8927777777777778,0.9233333333333332
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,summ_google,adv,33.108183869072434,3.1736154324828734,0.6920018621973929,0.8927777777777778,0.921111111111111
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,summ_google,adv,33.108183869072434,3.1736154324828734,0.6920018621973929,0.8927777777777778,0.921111111111111
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,summ_google,adv,10.411997931391149,-7.059421025901457,0.7921911855990068,0.941111111111111,0.8746741154562384
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,summ_google,adv,15.84483866418018,-2.4862643704695224,0.7921911855990068,0.941111111111111,0.9177126008690256
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,summ_google,adv,17.177289182115913,-1.3646587034093467,0.7921911855990068,0.941111111111111,0.9282681564245808
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,summ_google,adv,17.31754713137235,-1.2465949489819257,0.7921911855990068,0.941111111111111,0.9293792675356922
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,summ_google,adv,17.808449953769706,-0.8333718084860876,0.7921911855990068,0.941111111111111,0.9332681564245808
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,summ_google,adv,17.457805080628727,-1.1285311945545518,0.7921911855990068,0.941111111111111,0.9304903786468032
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,summ_google,adv,17.7383209791415,-0.8924036856997922,0.7921911855990068,0.941111111111111,0.9327126008690252
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,summ_google,adv,17.746548400745933,-0.8854781582054396,0.7921911855990068,0.941111111111111,0.9327777777777776
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,summ_google,adv,17.95693532463055,-0.7083825265643375,0.7921911855990068,0.941111111111111,0.9344444444444444
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,summ_google,adv,8.54319788124304,-3.68603838652822,0.7921911855990068,0.8927777777777778,0.8598696461824953
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,summ_google,adv,13.398551973797638,0.6222775357809686,0.7921911855990068,0.8927777777777778,0.8983333333333334
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,summ_google,adv,15.2219053141308,2.240199128811452,0.7921911855990068,0.8927777777777778,0.9127777777777778
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,summ_google,adv,16.273839933553763,3.1736154324828734,0.7921911855990068,0.8927777777777778,0.921111111111111
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,summ_google,adv,16.975129679835778,3.795892968263855,0.7921911855990068,0.8927777777777778,0.9266666666666667
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.6,summ_google,adv,16.975129679835767,3.795892968263842,0.7921911855990068,0.8927777777777778,0.9266666666666666
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.7,summ_google,adv,16.48422685743835,3.360298693217153,0.7921911855990068,0.8927777777777778,0.9227777777777776
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.8,summ_google,adv,16.133581984297386,3.0491599253267,0.7921911855990068,0.8927777777777778,0.92
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.9,summ_google,adv,15.923195060412798,2.8624766645924207,0.7921911855990068,0.8927777777777778,0.9183333333333334
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.1,summ_google,adv,18.649328178647668,-27.63285470243317,0.5740068280571075,0.941111111111111,0.6810552451893233
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.2,summ_google,adv,37.09481197112654,-16.38250018138285,0.5740068280571075,0.941111111111111,0.7869335816263191
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.3,summ_google,adv,49.30655059612316,-8.934260254727484,0.5740068280571075,0.941111111111111,0.8570297951582868
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.4,summ_google,adv,54.48160263862226,-5.777868652424259,0.5740068280571075,0.941111111111111,0.8867349472377405
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.5,summ_google,adv,57.14023087945061,-4.156305857677107,0.5740068280571075,0.941111111111111,0.9019956548727498
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.6,summ_google,adv,57.74365351861361,-3.7882635394062447,0.5740068280571075,0.941111111111111,0.9054593420235878
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.7,summ_google,adv,58.64878747735811,-3.236200061999952,0.5740068280571075,0.941111111111111,0.9106548727498448
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.8,summ_google,adv,59.05863905485411,-2.9862214981564867,0.5740068280571075,0.941111111111111,0.9130074487895716
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.9,summ_google,adv,60.24277487901807,-2.263987916603444,0.5740068280571075,0.941111111111111,0.919804469273743
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.1,summ_google,adv,16.183730298196764,-25.30027498409541,0.5740068280571075,0.8927777777777778,0.6669025450031038
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.2,summ_google,adv,32.750277109410895,-14.648899889797772,0.5740068280571075,0.8927777777777778,0.7619956548727499
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.3,summ_google,adv,44.64894968774498,-6.998710251587855,0.5740068280571075,0.8927777777777778,0.8302948479205462
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.4,summ_google,adv,50.09164886858255,-3.4993551257939157,0.5740068280571075,0.8927777777777778,0.8615363128491621
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.5,summ_google,adv,53.00656952066829,-1.6252220557407715,0.5740068280571075,0.8927777777777778,0.878268156424581
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.6,summ_google,adv,53.59863743275025,-1.244555071561925,0.5740068280571075,0.8927777777777778,0.8816666666666666
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.7,summ_google,adv,54.082565086917725,-0.933416303671434,0.5740068280571075,0.8927777777777778,0.8844444444444445
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.8,summ_google,adv,55.147205926086095,-0.2489110143123973,0.5740068280571075,0.8927777777777778,0.8905555555555554
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.9,summ_google,adv,55.727919111087054,0.1244555071561862,0.5740068280571075,0.8927777777777778,0.8938888888888888
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.1,summ_google,adv,36.8394390560326,-63.47575735589957,0.2511949099937926,0.941111111111111,0.3437337057728118
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.2,summ_google,adv,76.84314573423121,-52.79824289473858,0.2511949099937926,0.941111111111111,0.4442209807572936
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.3,summ_google,adv,134.33248903441037,-37.45358247643672,0.2511949099937926,0.941111111111111,0.5886312849162011
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.4,summ_google,adv,181.37517761166373,-24.897271342167222,0.2511949099937926,0.941111111111111,0.7068001241464928
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.5,summ_google,adv,200.47321925001555,-19.79975331930638,0.2511949099937926,0.941111111111111,0.7547734326505277
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.6,summ_google,adv,215.59028850311984,-15.764809086292066,0.2511949099937926,0.941111111111111,0.7927467411545623
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.7,summ_google,adv,224.9311175634769,-13.27161918832817,0.2511949099937926,0.941111111111111,0.8162104283054004
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.8,summ_google,adv,233.58250447890288,-10.962450449499702,0.2511949099937926,0.941111111111111,0.8379422718808194
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.9,summ_google,adv,244.497436214246,-8.049111883545601,0.2511949099937926,0.941111111111111,0.8653600248292985
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.1,summ_google,adv,33.53431766232164,-62.42834248208779,0.2511949099937926,0.8927777777777778,0.335431409062694
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.2,summ_google,adv,68.82807190955708,-52.497974990700605,0.2511949099937926,0.8927777777777778,0.4240875232774674
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.3,summ_google,adv,110.86180268116397,-40.671225400047966,0.2511949099937926,0.8927777777777778,0.5296741154562384
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.4,summ_google,adv,141.23926607771674,-32.12412177171801,0.2511949099937926,0.8927777777777778,0.6059807572936065
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.5,summ_google,adv,157.63143263112377,-27.511967544228643,0.2511949099937926,0.8927777777777778,0.6471570453134698
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.6,summ_google,adv,170.0426267992834,-24.019912881145004,0.2511949099937926,0.8927777777777778,0.6783333333333332
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.7,summ_google,adv,180.43738802742945,-21.095208462974487,0.2511949099937926,0.8927777777777778,0.7044444444444444
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.8,summ_google,adv,188.3993327979243,-18.85500933416304,0.2511949099937926,0.8927777777777778,0.7244444444444444
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.9,summ_google,adv,202.553901278804,-14.872433105164903,0.2511949099937926,0.8927777777777778,0.76
ref,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.1,summ_google,adv,19.482274295060986,-11.3479714800182,0.698274363749224,0.941111111111111,0.8343140906269397
ref,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.2,summ_google,adv,26.801905913309398,-5.917038776358225,0.698274363749224,0.941111111111111,0.8854252017380508
ref,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.3,summ_google,adv,29.26830352380616,-4.087050582733652,0.698274363749224,0.941111111111111,0.9026474239602732
