setup,metric,nli_metric,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,wmt20,mt,7.026290141968376,0.9531171708624199,0.8352951726495519,0.8855451521211586,0.8939854350217651
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,wmt20,mt,7.700210312476079,1.5887959545222607,0.8352951726495519,0.8855451521211586,0.8996146576735276
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,wmt20,mt,8.002656548794706,1.8740799748546417,0.8352951726495519,0.8855451521211586,0.9021409764853573
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,wmt20,mt,7.960174745139684,1.8340087877068292,0.8352951726495519,0.8855451521211586,0.9017861280301724
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,wmt20,mt,7.597882101764272,1.492274325750763,0.8352951726495519,0.8855451521211586,0.8987599150691932
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,wmt20,mt,6.940859896340719,0.8725346374928675,0.8352951726495519,0.8855451521211586,0.8932718403040546
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,paws_back_google,adv-all,8.968279059964178,-0.19305019305018464,0.7907500000000001,0.8633333333333334,0.8616666666666668
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,paws_back_google,adv-all,12.319527874380851,2.8764478764478683,0.7907500000000001,0.8633333333333334,0.8881666666666667
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,paws_back_google,adv-all,13.204763410264523,3.6872586872586925,0.7907500000000001,0.8633333333333334,0.8951666666666668
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,paws_back_google,adv-all,13.215301928548865,3.6969111969112136,0.7907500000000001,0.8633333333333334,0.8952500000000002
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,paws_back_google,adv-all,13.188955632838036,3.6727799227799363,0.7907500000000001,0.8633333333333334,0.8950416666666668
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,paws_back_google,adv-all,12.883338602592481,3.392857142857148,0.7907500000000001,0.8633333333333334,0.8926250000000001
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,paws_back_google,adv-all,12.535567499209598,3.0743243243243135,0.7907500000000001,0.8633333333333334,0.889875
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,paws_back_google,adv-all,12.092949731267778,2.6689189189189144,0.7907500000000001,0.8633333333333334,0.886375
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,paws_back_google,adv-all,11.3447149330804,1.983590733590727,0.7907500000000001,0.8633333333333334,0.8804583333333333
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,paws_back_google,adv-fact,12.774165892691283,-5.839895013123364,0.7776111111111111,0.9313333333333333,0.8769444444444444
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,paws_back_google,adv-fact,17.932414088733303,-1.5330470054879444,0.7776111111111111,0.9313333333333333,0.9170555555555556
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,paws_back_google,adv-fact,19.618489676359232,-0.12526843235503274,0.7776111111111111,0.9313333333333333,0.9301666666666668
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,paws_back_google,adv-fact,20.075730513681485,0.2565020281555591,0.7776111111111111,0.9313333333333333,0.9337222222222221
